company,time,Mclsprc,Mnshrtrd,Mnvaltrd,Msmvosd,returns1,shizhi,returns
60,Nov-04,6.28,19763836,127343840,1288656,-0.002757435,1313622,0.008830189
60,Nov-03,5.61,19449476,107564426,1151172,0.022235652,1510272,0.019831801
60,Nov-02,6.12,22578842,147947124.2,1255824,-0.034106567,1266768,-0.004627731
60,Nov-01,7.68,23990661,179133118.6,1575936,0.041505797,1314648,-0.004161668
404,Nov-16,10.68,159200355,1847227962,5963669.26,-0.031748776,5655913.328,-0.007773389
404,Nov-15,8.87,569724058,5067928663,4388091.97,0.022611528,4183383.348,0.000171726
404,Nov-14,6.94,248950101,1687368396,3434764.12,0.008850558,4062721.638,0.027041339
404,Nov-13,6.01,66492629,396288161.2,1950657.97,-0.013517217,2460614.968,-0.008935188
404,Nov-12,4.84,130517730,716064935.2,1100948.57,-0.089671604,1407971.632,0.000242894
404,Nov-11,6.02,83899165,539279463.3,1369361.65,-0.021120587,1138860.022,-0.01871621
404,Nov-10,8.66,308026048,2943536920,1969879.05,-0.013819627,1917561.25,-0.005813928
404,Nov-09,8.5,317914720,2600561085,1652475.63,0.08494175,2065591.375,0.040904656
404,Nov-08,3.13,116849382,364528127,549046.29,0.053064568,778743.17,0.043037325
404,Nov-07,9.35,175040474,1589232128,1488292.28,0.068264832,1336201.15,-0.018126066
404,Nov-06,3.72,34508037,126106793,355208.06,0.036516834,701209.7783,0.057031956
404,Nov-05,2.22,24253421,54420676,211979,0.013914515,208477.8467,-0.005962212
404,Nov-04,3.68,53356218,196806251,351388.62,-0.018483406,328312.825,-0.024694763
404,Nov-03,4.06,10668034,42595150,387673.31,0.00107101,455468.395,0.009374317
404,Nov-02,5.94,7416974,47158567.85,567187.06,-0.041126736,551272.7217,-0.019468773
404,Nov-01,8.34,11353671,89810145.3,796353.55,0.051347843,659171.9433,-0.002181553
410,Nov-16,14.79,377975147,5693130673,10942013.91,0.008899789,8696644.592,-0.04335922
410,Nov-15,25.82,1681113499,47046050463,19102265.9,-0.010140925,14203406.53,-0.03202658
410,Nov-14,12.25,865992695,8420572281,9050005.31,0.189410907,12994102.44,0.095623119
410,Nov-13,5.91,49618408,281898737.7,3186818.48,0.035988581,3350720.802,0.007332932
410,Nov-12,5.2,19049356,108664718.3,2803971.81,-0.051894272,3294666.875,-0.004064642
410,Nov-11,8.37,81173154,738791126.4,4491517.44,-0.035838425,4077269.72,-0.006843062
410,Nov-10,13.24,263362148,3747656122,7104861.52,-0.051880838,6801670.68,-0.017720997
410,Nov-09,12.05,678147786,7849000791,6454503.55,0.076235891,6319640.447,0.020338237
410,Nov-08,4.72,172355999,777476317.5,1429895.59,0.093017023,2125430.063,0.046268704
410,Nov-07,15.92,99174799,1736933432,4791757.04,-0.101252994,4919082.435,-0.038552342
410,Nov-06,14.7,76656597,995715728,2646622.78,0.040861221,4291960.622,0.029923295
410,Nov-05,7.1,38672188,278299579,961146.88,-0.028983427,1310012.443,0.018201341
410,Nov-04,7.09,38982346,280646009,959793.15,-0.017410127,848110.59,-0.009413559
410,Nov-03,8.4,121773791,987731147,1137131.52,0.046332334,1306798.763,0.011825801
410,Nov-02,6.12,26051093,155026990.8,828481.54,-0.01738801,821036.0333,-0.006040303
410,Nov-01,7.93,11127949,83678893.55,1073506.3,0.031216825,941292.2033,0.000293641
418,Nov-16,35.32,58548075,1975006899,15489062.28,0.024404276,16510118.34,0.022510435
418,Nov-15,21.31,68756586,1495819181,9328383.82,0.004300994,10389797.14,0.02559367
418,Nov-14,11.97,98703982,1198882072,5239999.19,-0.021586491,7185174.918,0.037810005
418,Nov-13,8.64,78386734,664557556.2,1913068.69,-0.020614455,3659698.462,0.000318866
418,Nov-12,7.19,49090153,368694822.1,1538542.09,0,2129709.352,0.014953896
418,Nov-11,9.39,103395945,1124318854,2056477.2,-0.069121727,2026425.467,-0.011366283
418,Nov-10,19.95,145902322,2918289828,6961360.34,0.039156231,4624254.695,-0.000919027
418,Nov-09,15.17,157271364,2217606495,5281137.68,0.12028774,5386157.008,0.016428082
418,Nov-08,4.09,87549590,334700339,864573.89,0.112036225,1243531.073,0.074132598
418,Nov-07,16.7,41501628,686129353,2226772.05,-0.003883434,2424336.96,-0.005162827
418,Nov-06,4.64,30604481,137047860,417460.8,-0.011088972,643135.55,0.068006723
418,Nov-05,3.34,14734600,51414426,240480,-0.006453231,269760,0.014989393
418,Nov-04,4.64,19347415,93327563,334080,0.005652503,302520,-0.020507731
418,Nov-03,6.27,18140958,116899270,451440,-0.050921576,511800,0.000511539
