company,time,Mclsprc,Mnshrtrd,Mnvaltrd,Msmvosd,returns1,shizhi,returns
60,May-06,14.45,388382680,5894657742,5296526.03,0.029534079,4810247.517,0.003913516
60,May-05,5.72,25119687,158299946,1173744,-0.096302183,1348848,0.006027252
60,May-04,7.21,37914455,262148984,1479492,0.012217247,1333800,-0.007500157
60,May-03,6.64,33168029,214380055,1362528,0.029076479,1160064,-0.011060732
60,May-02,6.06,14622951,94336529.08,1243512,-0.03641279,1460340,0.000328762
60,May-01,9.53,16820405,164022815.8,1955556,-0.012133175,1700082,-0.024561776
404,May-17,7.69,129197693,1204685424,5352209.08,-0.127753357,5209186.14,-0.031267482
404,May-16,7.96,253217863,2085392019,4444832.14,-0.025429379,5613741.1,0.022329597
404,May-15,10.99,627376911,6529578244,5436990.48,0.046240748,4272708.195,-0.011574142
404,May-14,5.46,79111773,438742870.7,2705478.51,-0.001587916,3007074.68,0.015621392
404,May-13,6.36,216390616,1385622696,2064257.01,0.027482785,1952821.755,0.002736227
404,May-12,4.86,78335025,386308587.9,1105497.95,-0.001783553,1143409.397,0.014349524
404,May-11,7.33,41378674,334992720.5,1667345.67,-0.051349974,1624126.613,-0.019289479
404,May-10,10.54,166640592,1830404480,2397520.24,-0.067064501,2298192.23,-0.023094599
404,May-09,5.68,217154686,1159451421,1104242.54,0.053644619,1216675.687,0.023962243
404,May-08,6.18,107162187,663788633.8,1084059.44,-0.00280191,732061.7133,-0.05855177
404,May-07,8.77,289683461,2541760956,1395970.41,0.066781753,1228835.98,0.004388157
404,May-06,2.86,59683201,144188883.4,273090.07,0.159700843,307783.3267,0.039560153
404,May-05,2.46,14657671,36536242,234895.65,-0.04522754,221368.4617,-0.017287365
404,May-04,5.49,28030597,145133685,524218.34,0.075871419,398335.9183,-0.013228284
404,May-03,5.56,16294345,85445558,530902.37,0.046974246,447670.3717,-0.015107587
404,May-02,7.25,28363459,208562952.6,692273.77,0.003609116,706755.8167,-0.006969285
404,May-01,10.94,27153133,289433764.4,1044617.24,0.039017322,872901.52,-0.021696965
410,May-17,6.74,205625704,1493640165,4986421.48,-0.072253171,6136286.982,0.011649757
410,May-16,15.83,475237726,7603235532,11711432.06,-0.030456771,11363714.24,-0.011478217
410,May-15,33.92,1742148511,61685801269,25094868.95,0.057991947,18336551.9,-0.008394456
410,May-14,5.97,91557114,559992721.5,4407444.13,-0.00362216,5215953.8,0.019854782
